Date,Month,Year,State,Rural Arterial Miles,Urban Arterial Miles,All Miles,Rural Arterial Stations,Urban Arterial Stations,All Stations,Other Miles,Other Stations,Total VMT (Million),Year To Date VMT (Million),Moving 12-Month VMT (Million),VMT Change Rate(Monthly),VMT Change Rate (Annually),GDP in billions of current dollars,Monthly Labor Participation Rate,CPI,Inflation,Monthly Unemployment rate,Monthly Unemployment in tenth
1915-12-01,Dec,1915,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,1.980198019801982,0.0,0.0
1916-01-01,Jan,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,2.970297029702973,0.0,0.0
1916-02-01,Feb,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,4.000000000000004,0.0,0.0
1916-03-01,Mar,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,6.060606060606055,0.0,0.0
1916-04-01,Apr,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,6.000000000000005,0.0,0.0
1916-05-01,May,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,5.940594059405946,0.0,0.0
1916-06-01,Jun,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,6.930693069306937,0.0,0.0
1916-07-01,Jul,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,6.930693069306937,0.0,0.0
1916-08-01,Aug,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,7.920792079207928,0.0,0.0
1916-09-01,Sep,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,9.90099009900991,0.0,0.0
1916-10-01,Oct,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,10.784313725490202,0.0,0.0
1916-11-01,Nov,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.6504854368932,0.0,0.0
1916-12-01,Dec,1916,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,12.621359223300963,0.0,0.0
1917-01-01,Jan,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,12.5,0.0,0.0
1917-02-01,Feb,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.384615384615374,0.0,0.0
1917-03-01,Mar,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.28571428571428,0.0,0.0
1917-04-01,Apr,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,18.867924528301884,0.0,0.0
1917-05-01,May,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,19.62616822429908,0.0,0.0
1917-06-01,Jun,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.37037037037037,0.0,0.0
1917-07-01,Jul,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,18.518518518518512,0.0,0.0
1917-08-01,Aug,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.266055045871557,0.0,0.0
1917-09-01,Sep,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,19.81981981981984,0.0,0.0
1917-10-01,Oct,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,19.469026548672552,0.0,0.0
1917-11-01,Nov,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,17.391304347826097,0.0,0.0
1917-12-01,Dec,1917,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,18.10344827586208,0.0,0.0
1918-01-01,Jan,1918,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.658119658119656,0.0,0.0
